building_id,building_name,room_num,address,city_area,Floor Plan,price,link,lat,lng,utilities,amenities,nearby,lease_term,available_date,concession
1,1440,2719,"1440 Amsterdam Ave, New York, NY 10027",Manhattan,1B1B,4650,https://www.1440amsterdam.com/,40.8185,-73.9542,Utilities separate,Doorman; gym; laundry; package room,1 train; grocery; Columbia; restaurants,12 months,Available now,Contact agent
1,1440,2714,"1440 Amsterdam Ave, New York, NY 10027",Manhattan,2B1B,5715,https://www.1440amsterdam.com/,40.8185,-73.9542,Utilities separate,Doorman; gym; laundry; package room,1 train; grocery; Columbia; restaurants,12 months,Available now,Contact agent
1,1440,1902,"1440 Amsterdam Ave, New York, NY 10027",Manhattan,2B2B,6085,https://www.1440amsterdam.com/,40.8185,-73.9542,Utilities separate,Doorman; gym; laundry; package room,1 train; grocery; Columbia; restaurants,12 months,Available now,Contact agent
1,1440,1910,"1440 Amsterdam Ave, New York, NY 10027",Manhattan,3B2B,6875,https://www.1440amsterdam.com/,40.8185,-73.9542,Utilities separate,Doorman; gym; laundry; package room,1 train; grocery; Columbia; restaurants,12 months,Available now,Contact agent
2,Miramar,817S,"407 W 206th St, New York, NY 10034",Manhattan,1B1B,3279,https://rentmiramar.com/availability/,40.8667,-73.9209,Utilities separate,Elevator; laundry; package room,A train; parks; grocery,12 months,Available now,Contact agent
3,Inwood Living,1232,"3880 9th Ave, New York, NY 10034",Manhattan,Studio,2780,https://www.3880ninthave.com/availability,40.8677,-73.9188,Utilities separate,Elevator; laundry; fitness room,A train; parks; grocery,12 months,Available now,Contact agent
4,1214,2354,"1214 5th Ave, New York, NY 10029",Manhattan,Studio,4082,https://www.relatedrentals.com/apartment-rentals/new-york-city/upper-east-side/1214-fifth-avenue,40.7914,-73.9524,Utilities separate,Doorman; gym; roof deck,Central Park; subway; grocery,12 months,Available now,Contact agent
5,The BLVD Collection,A01,"425 Washington Blvd, Jersey City, NJ 07310",NJ,1B1B,3200,https://verisresidential.com/jersey-city-nj-apartments/the-blvd-collection/,40.7273,-74.0358,Contact agent,Gym; pool; coworking; concierge,Newport PATH; waterfront; shopping,12 months,Contact agent,Contact agent
6,Newport Rentals,A01,"121 Town Square Pl, Jersey City, NJ 07310",NJ,Studio,2800,https://www.newportrentals.com/,40.7279,-74.0338,Contact agent,Waterfront; pool; fitness; elevator,Newport PATH; mall; waterfront,12 months,Contact agent,Contact agent
7,The Lively,A01,"321 Warren St, Jersey City, NJ 07302",NJ,Studio,3100,https://www.thelivelyapartments.com/,40.7198,-74.0385,Contact agent,Rooftop; lounge; fitness; package room,Grove St PATH; restaurants; shops,12 months,Contact agent,Contact agent
8,Haus25,A01,"25 Christopher Columbus Dr, Jersey City, NJ 07302",NJ,1B1B,3500,https://verisresidential.com/jersey-city-nj-apartments/haus25/,40.7185,-74.0361,Contact agent,Pool; fitness; concierge; coworking,Grove St PATH; Exchange Place; restaurants,12 months,Contact agent,Contact agent
9,235 Grand,A01,"235 Grand St, Jersey City, NJ 07302",NJ,Studio,3270,https://www.235grand.com/,40.7164,-74.0413,Contact agent,Doorman; fitness; rooftop; lounge,Grove St PATH; restaurants; shops,12 months,Contact agent,Contact agent
10,555TEN,A01,"555 10th Ave, New York, NY 10018",Manhattan,1B1B,4300,https://555ten.com/,40.7585,-73.9972,Contact agent,Pool; gym; rooftop; bowling,Hudson Yards; 7 train; restaurants,12 months,Contact agent,Contact agent
11,SKY,A01,"605 W 42nd St, New York, NY 10036",Manhattan,Studio,3600,https://www.liveatsky.com/,40.7612,-73.9988,Contact agent,Fitness; pool; doorman; lounge,Hudson River Park; 7 train; restaurants,12 months,Contact agent,Contact agent
12,Ocean,A01,"1 West St, New York, NY 10004",Manhattan,Studio,3800,https://www.moinian.com/ocean,40.7053,-74.0170,Contact agent,Doorman; fitness; roof deck; laundry,Battery Park; subway; waterfront,12 months,Contact agent,Contact agent
13,Jackson Park,A01,"28-16 Jackson Ave, Long Island City, NY 11101",Long Island,1B1B,4200,https://jacksonparklic.com/,40.7490,-73.9386,Contact agent,Pool; gym; private park; lounge,Queens Plaza; subway; restaurants,12 months,Contact agent,Contact agent
14,The Orchard LIC,A01,"42-06 Orchard St, Long Island City, NY 11101",Long Island,Studio,4100,https://theorchardlic.com/,40.7508,-73.9376,Contact agent,Pool; gym; coworking; rooftop,Queens Plaza; subway; shops,12 months,Contact agent,Contact agent
